,FinalURL,CustomParameter,Identifier,Keyword,Keyword ID
2869,https://www.overstock.com/search?keywords=&taxonomy=cat4547&searchtype=guidedNav&additionalKeywords=sealy+posturepedic+pillow&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336116038&ds_s_kwgid=58700001852833330""}",Generic_Standard_Bedding,+sealy +posturepedic +pillow,38915091465
2870,"https://www.overstock.com/Bedding-Bath/Mattress-Pads/Twin,/size,/4/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345478517&ds_s_kwgid=58700001850905376""}",Generic_Standard_Bedding,+twin +size +mattress +pad,47643787785
2871,https://www.overstock.com/Bedding-Bath/Canopies/4531/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336111283&ds_s_kwgid=58700001850901980""}",Generic_Standard_Bedding,custom canopy,21809712
2872,https://www.overstock.com/search?keywords=&taxonomy=sub4&refinesize=Queen&searchtype=guidedNav&additionalKeywords=queen&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346969532&ds_s_kwgid=58700001852924842""}",Generic_Standard_Bedding,bed pads queen,182346327444
2873,"https://www.overstock.com/Bedding-Bath/Pillow-Protectors/Polyester,/material,/4548/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345919349&ds_s_kwgid=58700001849913452""}",Generic_Standard_Bedding,polyester pillow protector,898747609
2874,https://www.overstock.com/Bedding-Bath/Sheets/4549/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346990601&ds_s_kwgid=58700001849958554""}",Generic_Standard_Bedding,+canopy +bed +sheet,40626160736
2875,https://www.overstock.com/search?keywords=&taxonomy=cat4549&refinesize=Queen&searchtype=guidedNav&additionalKeywords=queen+bed+sheets&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337129147&ds_s_kwgid=58700001850999732""}",Generic_Standard_Bedding,queen bed sheet,428914879
2876,"https://www.overstock.com/Bedding-Bath/Quilts/Queen,/size,/1984/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345037356&ds_s_kwgid=58700001852877148""}",Generic_Standard_Bedding,+queen +size +quilt,21183709396
2877,https://www.overstock.com/Baby/Baby-Blankets/6309/subcat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345853178&ds_s_kwgid=58700001852877025""}",Generic_Standard_Bedding,crochet baby blankets,125383501
2878,"https://www.overstock.com/Bedding-Bath/Bed-in-a-Bag/Queen,/size,/4537/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345919325&ds_s_kwgid=58700001852840968""}",Generic_Standard_Bedding,queen size beds in a bag sets,182343447924
2879,https://www.overstock.com/Bedding-Bath/Duvet-Covers/4540/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336401905&ds_s_kwgid=58700001849914247""}",Generic_Standard_Bedding,duvet covers ikea,3339327665
2880,"https://www.overstock.com/Bedding-Bath/California-King,duvet-insert,/size,k,/43/store.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345455432&ds_s_kwgid=58700001849851070""}",Generic_Standard_Bedding,california king duvet inserts,160356196814
2881,https://www.overstock.com/Bedding-Bath/Blankets/11250/subcat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345666005&ds_s_kwgid=58700001852868061""}",Generic_Standard_Bedding,biederlack blankets,159543189
2882,https://www.overstock.com/search?keywords=&taxonomy=sub27921&searchtype=guidedNav&additionalKeywords=boys&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014344814153&ds_s_kwgid=58700001852854450""}",Generic_Standard_Bedding,boys bed in a bag,489097284
2883,https://www.overstock.com/Bedding-Bath/Sheets/4549/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346990604&ds_s_kwgid=58700001849958554""}",Generic_Standard_Bedding,canopy bed sheet,767919068
2884,"https://www.overstock.com/Bedding-Bath/Kids-Teen-Bedding/Animal,/pattern,/455/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346978643&ds_s_kwgid=58700001852924956""}",Generic_Standard_Bedding,+dinosaur +bedding,24675489096
2885,https://www.overstock.com/Bedding-Bath/Bed-in-a-Bag/4537/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014346254137&ds_s_kwgid=58700001849952158""}",Generic_Standard_Bedding,24 piece bed in a bag,6418812519
2886,"https://www.overstock.com/Bedding-Bath/Sheets-Pillowcases/Rayon-from-Bamboo,/material,/459/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345347007&ds_s_kwgid=58700001849915078""}",Generic_Standard_Bedding,bamboo sheet costco,182347274484
2887,https://www.overstock.com/Bedding-Bath/Pillows/4547/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345674030&ds_s_kwgid=58700001849876333""}",Generic_Standard_Bedding,overstock pillow,4770025531
2888,https://www.overstock.com/Bedding-Bath/Kids-Bed-in-a-Bags/27921/subcat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345613019&ds_s_kwgid=58700001850912612""}",Generic_Standard_Bedding,kids beds in a bag,3238228725
2889,https://www.overstock.com/Bedding-Bath/Sheets/4549/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345737385&ds_s_kwgid=58700001852876554""}",Generic_Standard_Bedding,sheets,21259730
